,optimizer,initializer,regularization,activation_function,best_valid_acc,last_valid_acc,last_train_acc,model,dropout
0,adamW,HeNormal,,relu,0.9021666646003723,0.8958333134651184,0.9633888602256775,vanilla_NN,0
1,adamW,HeNormal,,relu,0.9024999737739563,0.9001666903495789,0.919425904750824,vanilla_NN,0.3
2,adamW,HeNormal,,relu,0.8964999914169312,0.8934999704360962,0.8963333368301392,vanilla_NN,0.5
3,adamW,HeNormal,,tanh,0.8973333239555359,0.8958333134651184,0.9649999737739563,vanilla_NN,0
4,adamW,HeNormal,,tanh,0.8945000171661377,0.887666642665863,0.9004074335098267,vanilla_NN,0.3
5,adamW,HeNormal,,tanh,0.8849999904632568,0.8845000267028809,0.8764073848724365,vanilla_NN,0.5
6,adamW,HeNormal,,sigmoid,0.8973333239555359,0.8955000042915344,0.9531852006912231,vanilla_NN,0
7,adamW,HeNormal,,sigmoid,0.8988333344459534,0.8988333344459534,0.9124629497528076,vanilla_NN,0.3
8,adamW,HeNormal,,sigmoid,0.893833339214325,0.8934999704360962,0.890500009059906,vanilla_NN,0.5
9,adamW,HeNormal,l1,relu,0.9021666646003723,0.8996666669845581,0.9640740752220154,vanilla_NN,0
10,adamW,HeNormal,l1,relu,0.9006666541099548,0.8989999890327454,0.920462965965271,vanilla_NN,0.3
11,adamW,HeNormal,l1,relu,0.8946666717529297,0.8916666507720947,0.8950185179710388,vanilla_NN,0.5
12,adamW,HeNormal,l1,tanh,0.8986666798591614,0.8986666798591614,0.9638333320617676,vanilla_NN,0
13,adamW,HeNormal,l1,tanh,0.8968333601951599,0.8931666612625122,0.9021296501159668,vanilla_NN,0.3
14,adamW,HeNormal,l1,tanh,0.8853333592414856,0.8840000033378601,0.87970370054245,vanilla_NN,0.5
15,adamW,HeNormal,l1,sigmoid,0.8980000019073486,0.8934999704360962,0.9538518786430359,vanilla_NN,0
16,adamW,HeNormal,l1,sigmoid,0.8995000123977661,0.8991666436195374,0.9125185012817383,vanilla_NN,0.3
17,adamW,HeNormal,l1,sigmoid,0.8933333158493042,0.8933333158493042,0.8905740976333618,vanilla_NN,0.5
18,adamW,HeNormal,l2,relu,0.9011666774749756,0.8976666927337646,0.9641666412353516,vanilla_NN,0
19,adamW,HeNormal,l2,relu,0.9023333191871643,0.9014999866485596,0.9194074273109436,vanilla_NN,0.3
20,adamW,HeNormal,l2,relu,0.8960000276565552,0.893833339214325,0.8917962908744812,vanilla_NN,0.5
21,adamW,HeNormal,l2,tanh,0.8998333215713501,0.8878333568572998,0.9641110897064209,vanilla_NN,0
22,adamW,HeNormal,l2,tanh,0.8958333134651184,0.8948333263397217,0.9040185213088989,vanilla_NN,0.3
23,adamW,HeNormal,l2,tanh,0.8826666474342346,0.8801666498184204,0.876703679561615,vanilla_NN,0.5
24,adamW,HeNormal,l2,sigmoid,0.8973333239555359,0.8895000219345093,0.9519259333610535,vanilla_NN,0
25,adamW,HeNormal,l2,sigmoid,0.8973333239555359,0.8941666483879089,0.9127592444419861,vanilla_NN,0.3
