,optimizer,initializer,regularization,activation_function,best_valid_acc,dropout
127,adamW,GlorotNormal,l1,relu,0.9003333449363708,0.3
128,adamW,GlorotNormal,l1,relu,0.8945000171661377,0.5
129,adamW,GlorotNormal,l1,tanh,0.8939999938011169,0
130,adamW,GlorotNormal,l1,tanh,0.8911666870117188,0.3
131,adamW,GlorotNormal,l1,tanh,0.8856666684150696,0.5
132,adamW,GlorotNormal,l1,sigmoid,0.8986666798591614,0
133,adamW,GlorotNormal,l1,sigmoid,0.9026666879653931,0.3
134,adamW,GlorotNormal,l1,sigmoid,0.9013333320617676,0.5
135,adamW,GlorotNormal,l2,relu,0.8983333110809326,0
136,adamW,GlorotNormal,l2,relu,0.9021666646003723,0.3
137,adamW,GlorotNormal,l2,relu,0.8945000171661377,0.5
138,adamW,GlorotNormal,l2,tanh,0.8934999704360962,0
139,adamW,GlorotNormal,l2,tanh,0.8923333287239075,0.3
140,adamW,GlorotNormal,l2,tanh,0.8881666660308838,0.5
141,adamW,GlorotNormal,l2,sigmoid,0.8993333578109741,0
142,adamW,GlorotNormal,l2,sigmoid,0.9024999737739563,0.3
143,adamW,GlorotNormal,l2,sigmoid,0.9010000228881836,0.5
