hours_accuracy,hours_loss,loss,minutes_accuracy,minutes_loss,val_hours_accuracy,val_hours_loss,val_loss,val_minutes_accuracy,val_minutes_loss,learning_rate
0.10687500238418579,2.439378499984741,3.0309269428253174,0.6882638931274414,0.5746316313743591,0.08888889104127884,4.05147647857666,7.128880977630615,0.5116666555404663,3.0635859966278076,0.0005000000237487257
0.13611111044883728,2.323329210281372,2.8043272495269775,0.7713888883590698,0.46403443813323975,0.0833333358168602,3.460298538208008,5.058119773864746,0.5116666555404663,1.5873143672943115,0.0005000000237487257
0.18062500655651093,2.1980323791503906,2.6113638877868652,0.8166666626930237,0.3959161043167114,0.06777777522802353,5.825170040130615,14.187288284301758,0.5116666555404663,8.362264633178711,0.0005000000237487257
0.2609722316265106,1.969367265701294,2.2952637672424316,0.863611102104187,0.30724525451660156,0.09333333373069763,2.6171493530273438,3.6193196773529053,0.5538889169692993,0.9974249601364136,0.0005000000237487257
0.3777083456516266,1.6230485439300537,1.8734806776046753,0.902013897895813,0.2297678291797638,0.06777777522802353,14.370967864990234,16.466753005981445,0.5972222089767456,2.123527765274048,0.0005000000237487257
0.5280555486679077,1.2487038373947144,1.4459112882614136,0.9288889169692993,0.174040749669075,0.0694444477558136,38.75105667114258,39.490169525146484,0.8094444274902344,0.9018462896347046,0.0005000000237487257
0.6422916650772095,0.9446409940719604,1.1040911674499512,0.945347249507904,0.13364243507385254,0.0716666653752327,188.86114501953125,260.18109130859375,0.4883333444595337,73.2739028930664,0.0005000000237487257
0.7311111092567444,0.740642249584198,0.8774766325950623,0.9565277695655823,0.10845939815044403,0.24944444000720978,2.658233880996704,3.1190266609191895,0.8838889002799988,0.41059595346450806,0.0005000000237487257
0.7840971946716309,0.6057941317558289,0.7217228412628174,0.9668055772781372,0.0853271335363388,0.5616666674613953,1.1964516639709473,1.4820928573608398,0.9027777910232544,0.2678349018096924,0.0005000000237487257
0.8248611092567444,0.5006042122840881,0.6000789403915405,0.9752083420753479,0.06676550954580307,0.07555555552244186,72.78865051269531,116.88388061523438,0.4883333444595337,44.743133544921875,0.0005000000237487257
0.8561805486679077,0.4236045777797699,0.5166124701499939,0.9793055653572083,0.0584164522588253,0.08888889104127884,15.634371757507324,16.726816177368164,0.6538888812065125,1.0773063898086548,0.0005000000237487257
0.8763194680213928,0.3668231666088104,0.453302264213562,0.9825000166893005,0.05023997277021408,0.5388888716697693,1.1736947298049927,1.4244160652160645,0.9277777671813965,0.20053540170192719,0.0005000000237487257
0.8963194489479065,0.3205753564834595,0.40369486808776855,0.9842361211776733,0.045356690883636475,0.12833333015441895,7.006541728973389,7.480930328369141,0.879444420337677,0.4674292504787445,0.0005000000237487257
0.9086805582046509,0.28421613574028015,0.3597572445869446,0.9870833158493042,0.03643512725830078,0.07388889044523239,33.49748229980469,35.291847229003906,0.7705555558204651,1.8037577867507935,0.0005000000237487257
0.9192361235618591,0.24652151763439178,0.3219372630119324,0.987500011920929,0.035105008631944656,0.07611110806465149,54.222900390625,58.68532180786133,0.4977777898311615,4.679719924926758,0.0005000000237487257
0.9290972352027893,0.22389113903045654,0.2960869073867798,0.9895138740539551,0.030835049226880074,0.12222222238779068,12.699684143066406,17.78093719482422,0.49388888478279114,5.024182319641113,0.0005000000237487257
0.9402083158493042,0.19423514604568481,0.26097872853279114,0.991944432258606,0.024440133944153786,0.07500000298023224,17.301151275634766,18.872955322265625,0.7077777981758118,1.5584319829940796,0.0005000000237487257
0.9632638692855835,0.13897429406642914,0.20051352679729462,0.9932639002799988,0.01860778033733368,0.1666666716337204,8.420324325561523,9.383699417114258,0.800000011920929,0.8372238874435425,0.0002500000118743628
0.9691666960716248,0.12390036135911942,0.1815475970506668,0.9958333373069763,0.014366114512085915,0.12888889014720917,13.742562294006348,15.553166389465332,0.7322221994400024,1.7275420427322388,0.0002500000118743628
0.9704861044883728,0.11508376151323318,0.17163310945034027,0.995763897895813,0.012968101538717747,0.3822222352027893,3.7126870155334473,4.154796600341797,0.9133333563804626,0.37266120314598083,0.0002500000118743628
0.9702083468437195,0.10933807492256165,0.1640225201845169,0.9970138669013977,0.010843407362699509,0.30222222208976746,3.390280246734619,3.740844488143921,0.8816666603088379,0.32489416003227234,0.0002500000118743628
0.9718055725097656,0.10183518379926682,0.15796664357185364,0.995555579662323,0.012076420709490776,0.21666666865348816,4.315112113952637,5.122424125671387,0.7766666412353516,0.7566213011741638,0.0002500000118743628
0.9802083373069763,0.08445461094379425,0.13609157502651215,0.9979861378669739,0.007445629220455885,0.5072222352027893,1.964073896408081,2.522003650665283,0.9100000262260437,0.4889870882034302,0.0001250000059371814
0.9839583039283752,0.07421062886714935,0.12434305995702744,0.9988889098167419,0.005870825611054897,0.8738889098167419,0.34016120433807373,0.4776369631290436,0.9766666889190674,0.08240638673305511,0.0001250000059371814
0.9840278029441833,0.07237201184034348,0.12326154857873917,0.9979861378669739,0.006584650836884975,0.5600000023841858,1.6789665222167969,1.989501953125,0.9438889026641846,0.23280182480812073,0.0001250000059371814
0.9838888645172119,0.0696670264005661,0.121388278901577,0.9977083206176758,0.007385812699794769,0.5216666460037231,2.1332290172576904,2.358365774154663,0.9633333086967468,0.14452530443668365,0.0001250000059371814
0.9847916960716248,0.0677812248468399,0.11919309198856354,0.9979166388511658,0.007056755479425192,0.23111110925674438,7.639329433441162,8.392989158630371,0.8527777791023254,0.6821042895317078,0.0001250000059371814
